PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Cheerla, Nikhil; Gevaert, Olivier								MicroRNA based Pan-Cancer Diagnosis and Treatment Recommendation								BMC BIOINFORMATICS				18						32	10.1186/s12859-016-1421-y			JAN 13 2017	2017										4							WOS:000392171000002		
J	Hao, Ming; Bryant, Stephen H.; Wang, Yanli								Predicting drug-target interactionsby dual-network integrated logistic matrix factorization								SCIENTIFIC REPORTS				7						40376	10.1038/srep40376			JAN 12 2017	2017										4							WOS:000391670100001		
J	Kocherginsky, Masha; Huisingh-Scheetz, Megan; Dale, William; Lauderdale, Diane S.; Waite, Linda								Measuring Physical Activity with Hip Accelerometry among US Older Adults: How Many Days Are Enough?								PLOS ONE				12	1					e0170082	10.1371/journal.pone.0170082			JAN 12 2017	2017										4							WOS:000391949500129		
J	Sanz-Aguilar, Ana; Cortes-Avizanda, Ainara; Serrano, David; Blanco, Guillermo; Ceballos, Olga; Grande, Juan M.; Tella, Jose L.; Donazar, Jose A.								Sex- and age-dependent patterns of survival and breeding success in a long-lived endangered avian scavenger								SCIENTIFIC REPORTS				7						40204	10.1038/srep40204			JAN 11 2017	2017										4							WOS:000391533400001		
J	Stankowich, Theodore; Romero, Ashly N.								The correlated evolution of antipredator defences and brain size in mammals								PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES				284	1846					20161857	10.1098/rspb.2016.1857			JAN 11 2017	2017										4							WOS:000393400500015		
J	Gunnigle, Eoin; Frossard, Aline; Ramond, Jean-Baptiste; Guerrero, Leandro; Seely, Mary; Cowan, Don A.								Diel-scale temporal dynamics recorded for bacterial groups in Namib Desert soil								SCIENTIFIC REPORTS				7						40189	10.1038/srep40189			JAN 10 2017	2017										4							WOS:000392237300001		
J	Hildebrandt, Markus; Fankhauser, Gabriela; Meichtry, Andre; Luomajoki, Hannu								Correlation between lumbar dysfunction and fat infiltration in lumbar multifidus muscles in patients with low back pain								BMC MUSCULOSKELETAL DISORDERS				18						12	10.1186/s12891-016-1376-1			JAN 10 2017	2017										4							WOS:000395190100004		
J	Isensee, Joerg; Krahe, Leonhardt; Moeller, Katharina; Pereira, Vanessa; Sexton, Jane E.; Sun, Xiaohui; Emery, Edward; Wood, John N.; Hucho, Tim								Synergistic regulation of serotonin and opioid signaling contribute to pain insensitivity in Na(v)1.7 knockout mice								SCIENCE SIGNALING				10	461					eaah4874	10.1126/scisignal.aah4874			JAN 10 2017	2017										4							WOS:000393783800003		
J	Ropke, Cristhiana P.; Amadio, Sidineia; Zuanon, Jansen; Ferreira, Efrem J. G.; de Deus, Cludia Pereira; Pires, Tiago H. S.; Winemiller, Kirk O.								Simultaneous abrupt shifts in hydrology and fish assemblage structure in a floodplain lake in the central Amazon								SCIENTIFIC REPORTS				7						40170	10.1038/srep40170			JAN 10 2017	2017										4							WOS:000392234400001		
J	Semak, M. R.; Dietz, R. D.; Pearson, R. H.; Willis, C. W.								Examining evolving performance on the Force Concept Inventory using factor analysis								PHYSICAL REVIEW PHYSICS EDUCATION RESEARCH				13	1					UNSP 010103	10.1103/PhysRevPhysEducRes.113.010103			JAN 10 2017	2017										4							WOS:000391942600001		
