PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Arriba, Maria; Garcia, Juan L.; Inglada-Perez, Lucia; Rueda, Daniel; Osorio, Irene; Rodriguez, Yolanda; Alvaro, Edurne; Sanchez, Ricard; Fernandez, Tamara; Perez, Jessica; Hernandez, Jesus M.; Benitez, Javier; Gonzalez-Sarmiento, Rogelio; Urioste, Miguel; Perea, Jose								DNA copy number profiling reveals different patterns of chromosomal instability within colorectal cancer according to the age of onset								MOLECULAR CARCINOGENESIS				55	5			705	716					MAY 2016	2016																			
J	Furlan, Elise M.; Gleeson, Dianne; Hardy, Christopher M.; Duncan, Richard P.								A framework for estimating the sensitivity of eDNA surveys								MOLECULAR ECOLOGY RESOURCES				16	3			641	654					MAY 2016	2016																			
J	Zwart, Alexander B.; Elliott, Carole; Hopley, Tara; Lovell, David; Young, Andrew								polypatex: an r package for paternity exclusion in autopolyploids								MOLECULAR ECOLOGY RESOURCES				16	3			694	700					MAY 2016	2016																			
J	Robertson, Shaun; Bradley, Janette E.; MacColl, Andrew D. C.								Measuring the immune system of the three-spined stickleback - investigating natural variation by quantifying immune expression in the laboratory and the wild								MOLECULAR ECOLOGY RESOURCES				16	3			701	713					MAY 2016	2016																			
J	Kardos, Marty; Husby, Arild; McFarlane, S. Eryn; Qvarnstrom, Anna; Ellegren, Hans								Whole-genome resequencing of extreme phenotypes in collared flycatchers highlights the difficulty of detecting quantitative trait loci in natural populations								MOLECULAR ECOLOGY RESOURCES				16	3			727	741					MAY 2016	2016																			
J	Blischak, Paul D.; Kubatko, Laura S.; Wolfe, Andrea D.								Accounting for genotype uncertainty in the estimation of allele frequencies in autopolyploids								MOLECULAR ECOLOGY RESOURCES				16	3			742	754					MAY 2016	2016																			
J	Koyyappurath, S.; Atuahiva, T.; Le Guen, R.; Batina, H.; Le Squin, S.; Gautheron, N.; Hermann, V. Edel; Peribe, J.; Jahiel, M.; Steinberg, C.; Liew, E. C. Y.; Alabouvette, C.; Besse, P.; Dron, M.; Sache, I.; Laval, V.; Grisoni, M.								Fusarium oxysporum f. sp radicis-vanillae is the causal agent of root and stem rot of vanilla								PLANT PATHOLOGY				65	4			612	625					MAY 2016	2016																			
J	de Miguel, Marina; Angeles Guevara, M.; Sanchez-Gomez, David; de Maria, Nuria; Manuel Diaz, Luis.; Mancha, Jose A.; Fernandez de Simon, Brigida; Cadahia, Estrella; Desai, Nalini; Aranda, Ismael; Teresa Cervera, Maria								Organ-specific metabolic responses to drought in Pinus pinaster Ait.								PLANT PHYSIOLOGY AND BIOCHEMISTRY				102				17	26					MAY 2016	2016																			
J	Hartmann, Matthias; Mast, Fred W.; Fischer, Martin H.								Counting is a spatial process: evidence from eye movements								PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG				80	3			399	409					MAY 2016	2016																			
J	Larsen, Martin H.; Johnsson, Jorgen I.; Naslund, Joacim; Thomassen, Soren T.; Aarestrup, Kim								Reduced rearing density increases postrelease migration success of Atlantic salmon (Salmo salar) smolts								CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES				73	5			804	810					MAY 2016	2016																			
J	Boggess, Bethany; Bogue, Hilda Ochoa								The health of US agricultural worker families: A descriptive study of over 790,000 migratory and seasonal agricultural workers and dependents								JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED				27	2			778	792					MAY 2016	2016																			
J	Rhyner, Daniel; Loher, Hannah; Dehais, Joachim; Anthimopoulos, Marios; Shevchik, Sergey; Botwey, Ransford Henry; Duke, David; Stettler, Christoph; Diem, Peter; Mougiakakou, Stavroula								Carbohydrate Estimation by a Mobile Phone-Based System Versus Self-Estimations of Individuals With Type 1 Diabetes Mellitus: A Comparative Study								JOURNAL OF MEDICAL INTERNET RESEARCH				18	5					e101				MAY 2016	2016																			
J	Feys, Jos								New Nonparametric Rank Tests for Interactions in Factorial Designs with Repeated Measures								JOURNAL OF MODERN APPLIED STATISTICAL METHODS				15	1			78	99					MAY 2016	2016																			
J	Harring, Jeffrey R.; Liu, Junhui								A Comparison of Estimation Methods For Nonlinear Mixed Effects Models Under Model Misspecification and Data Sparseness: A Simulation Study								JOURNAL OF MODERN APPLIED STATISTICAL METHODS				15	1			539	569					MAY 2016	2016																			
J	Thompson, Christopher G.								Graphing Effects as Fuzzy Numbers In Meta-Analysis								JOURNAL OF MODERN APPLIED STATISTICAL METHODS				15	1			957	977					MAY 2016	2016																			
J	Granered, Nicholas; Prins, Samantha C. Bates								IDENTIFYING OUTLYING OBSERVATIONS IN REGRESSION TREES								MISSOURI JOURNAL OF MATHEMATICAL SCIENCES				28	1			76	87					MAY 2016	2016																			
J	Bell, Melanie J.; Schaefer, Martin								Modelling semantic transparency								MORPHOLOGY				26	2			157	199					MAY 2016	2016																			
J	Oezcaliskan, Seyda; Lucero, Che; Goldin-Meadow, Susan								Is Seeing Gesture Necessary to Gesture Like a Native Speaker?								PSYCHOLOGICAL SCIENCE				27	5			737	747					MAY 2016	2016																			
J	Lacoue-Labarthe, Thomas; Nunes, Paulo A. L. D.; Ziveri, Patrizia; Cinar, Mine; Gazeau, Frederic; Hall-Spencer, Jason M.; Hilmi, Nathalie; Moschella, Paula; Safa, Alain; Sauzade, Didier; Turley, Carol								Impacts of ocean acidification in a warming Mediterranean Sea: An overview								REGIONAL STUDIES IN MARINE SCIENCE				5				1	11					MAY 2016	2016																			
J	Meyer, Sebastian; Warnke, Ingeborg; Rossler, Wulf; Held, Leonhard								Model-based testing for space time interaction using point processes: An application to psychiatric hospital admissions in an urban area								SPATIAL AND SPATIO-TEMPORAL EPIDEMIOLOGY				17				15	25					MAY 2016	2016																			
J	Mwesige, Godfrey; Farah, Haneen; Koutsopoulos, Haris N.								Risk appraisal of passing zones on two-lane rural highways and policy applications								ACCIDENT ANALYSIS AND PREVENTION				90				1	12					MAY 2016	2016																			
J	Froehlich, Marlen; Wittig, Roman M.; Pika, Simone								Should I stay or should I go? Initiation of joint travel in mother-infant dyads of two chimpanzee communities in the wild								ANIMAL COGNITION				19	3			483	500					MAY 2016	2016																			
J	Hahn, Amanda C.; Fisher, Claire I.; DeBruine, Lisa M.; Jones, Benedict C.								Sex-Specificity in the Reward Value of Facial Attractiveness								ARCHIVES OF SEXUAL BEHAVIOR				45	4			871	875					MAY 2016	2016																			
J	Torne-Noguera, Anna; Rodrigo, Anselm; Osorio, Sergio; Bosch, Jordi								Collateral effects of beekeeping: Impacts on pollen-nectar resources and wild bee communities								BASIC AND APPLIED ECOLOGY				17	3			199	209					MAY 2016	2016																			
J	Wam, Hilde Karine; Histol, Trond; Nybakken, Line; Solberg, Erling Johan; Hjeljord, Olav								Transient nutritional peak in browse foliage after forest clearing advocates cohort management of ungulates								BASIC AND APPLIED ECOLOGY				17	3			252	261					MAY 2016	2016																			
J	Vander Mijnsbrugge, Kristine; Depypere, Leander; Michiels, Boudewijn; De Cuyper, Bart								Genetic and temporal plastic variation in bud burst, bud set and flower opening responses of local versus non-local provenances of Prunus spinosa in a provenance trial								BASIC AND APPLIED ECOLOGY				17	3			262	272					MAY 2016	2016																			
J	Villa, Maria; Santos, Sonia A. P.; Mexia, Antonio; Bento, Albino; Pereira, Jose Alberto								Ground cover management affects parasitism of Prays oleae (Bernard)								BIOLOGICAL CONTROL				96				72	77					MAY 2016	2016																			
J	Finarelli, John A.; Liow, Lee Hsiang								Diversification histories for North American and Eurasian carnivorans								BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY				118	1			26	38					MAY 2016	2016																			
J	Polly, P. David; Lawing, A. Michelle; Eronen, Jussi T.; Schnitzler, Jan								Processes of ecometric patterning: modelling functional traits, environments, and clade dynamics in deep time								BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY				118	1			39	63					MAY 2016	2016																			
J	Baker, Joanna; Meade, Andrew; Pagel, Mark; Venditti, Chris								Positive phenotypic selection inferred from phylogenies								BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY				118	1			95	115					MAY 2016	2016																			
J	Hernando Vanegas, Luis; Paula, Gilberto A.								Log-symmetric distributions: Statistical properties and parameter estimation								BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS				30	2			196	220					MAY 2016	2016																			
J	Skovgaard-Olsen, Niels; Singmann, Henrik; Klauer, Karl Christoph								The relevance effect and conditionals								COGNITION				150				26	36					MAY 2016	2016																			
J	Crespi, Bernard; Leach, Emma; Dinsdale, Natalie; Mokkonena, Mikael; Hurd, Peter								Imagination in human social cognition, autism, and psychotic-affective conditions								COGNITION				150				181	199					MAY 2016	2016																			
J	Alp, Maria; Cucherousset, Julien; Buoro, Mathieu; Lecerf, Antoine								Phenological response of a key ecosystem function to biological invasion								ECOLOGY LETTERS				19	5			519	527					MAY 2016	2016																			
J	Cox, Filipa; Newsham, Kevin K.; Bol, Roland; Dungait, Jennifer A. J.; Robinson, Clare H.								Not poles apart: Antarctic soil fungal communities show similarities to those of the distant Arctic								ECOLOGY LETTERS				19	5			528	536					MAY 2016	2016																			
J	Aranguiz-Acuna, Adriana; Serra, Manuel								Diapause as escape strategy to exposure to toxicants: response of Brachionus calyciforus to arsenic								ECOTOXICOLOGY				25	4			708	719					MAY 2016	2016																			
J	Givens, Geof H.; Edmondson, Stacy L.; George, J. Craig; Suydam, Robert; Charif, Russ A.; Rahaman, Ashakur; Hawthorne, Dean; Tudor, Barbara; DeLong, Robert A.; Clark, Christopher W.								Horvitz-Thompson whale abundance estimation adjusting for uncertain recapture, temporal availability variation, and intermittent effort								ENVIRONMETRICS				27	3			134	146					MAY 2016	2016																			
J	David, Aaron T.; Simenstad, Charles A.; Cordell, Jeffery R.; Toft, Jason D.; Ellings, Christopher S.; Gray, Ayesha; Berge, Hans B.								Wetland Loss, Juvenile Salmon Foraging Performance, and Density Dependence in Pacific Northwest Estuaries								ESTUARIES AND COASTS				39	3			767	780					MAY 2016	2016																			
J	De Vis, J. B.; Zwanenburg, J. J.; van der Kleij, L. A.; Spijkerman, J. M.; Biessels, G. J.; Hendrikse, J.; Petersen, E. T.								Cerebrospinal fluid volumetric MRI mapping as a simple measurement for evaluating brain atrophy								EUROPEAN RADIOLOGY				26	5			1254	1262					MAY 2016	2016																			
J	Tonkin, Jonathan D.; Heino, Jani; Sundermann, Andrea; Haase, Peter; Jaehnig, Sonja C.								Context dependency in biodiversity patterns of central German stream metacommunities								FRESHWATER BIOLOGY				61	5			607	620					MAY 2016	2016																			
J	Maloufi, Selma; Catherine, Arnaud; Mouillot, David; Louvard, Clarisse; Coute, Alain; Bernard, Cecile; Troussellier, Marc								Environmental heterogeneity among lakes promotes hyper -diversity across phytoplankton communities								FRESHWATER BIOLOGY				61	5			633	645					MAY 2016	2016																			
