PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Sequeira, Ana M. M.; Roetman, Philip E. J.; Daniels, Christopher B.; Baker, Andrew K.; Bradshaw, Corey J. A.								Distribution models for koalas in South Australia using citizen science-collected data								ECOLOGY AND EVOLUTION				4	11			2103	2114		10.1002/ece3.1094			JUN 2014	2014										23							WOS:000337522200007		
J	Peters, Thorsten; Braeuning, Achim; Muenchow, Jannes; Richter, Michael								An ecological paradox: high species diversity and low position of the upper forest line in the Andean Depression								ECOLOGY AND EVOLUTION				4	11			2134	2145		10.1002/ece3.1078			JUN 2014	2014										4							WOS:000337522200010		
J	Alos, Josep; Palmer, Miquel; Linde-Medina, Marta; Arlinghaus, Robert								Consistent size-independent harvest selection on fish body shape in two recreationally exploited marine species								ECOLOGY AND EVOLUTION				4	11			2154	2164		10.1002/ece3.1075			JUN 2014	2014										9							WOS:000337522200012		
J	Priol, Pauline; Mazerolle, Marc J.; Imbeau, Louis; Drapeau, Pierre; Trudeau, Caroline; Ramiere, Jessica								Using dynamic N-mixture models to test cavity limitation on northern flying squirrel demographic parameters using experimental nest box supplementation								ECOLOGY AND EVOLUTION				4	11			2165	2177		10.1002/ece3.1086			JUN 2014	2014										7							WOS:000337522200013		
J	Maletzke, Benjamin T.; Wielgus, Robert; Koehler, Gary M.; Swanson, Mark; Cooley, Hilary; Alldredge, J. Richard								Effects of hunting on cougar spatial organization								ECOLOGY AND EVOLUTION				4	11			2178	2185		10.1002/ece3.1089			JUN 2014	2014										16							WOS:000337522200014		
J	Immonen, Elina; Snook, Rhonda R.; Ritchie, Michael G.								Mating system variation drives rapid evolution of the female transcriptome in Drosophila pseudoobscura								ECOLOGY AND EVOLUTION				4	11			2186	2201		10.1002/ece3.1098			JUN 2014	2014										13							WOS:000337522200015		
J	Vamosi, Jana C.; Moray, Clea M.; Garcha, Navdeep K.; Chamberlain, Scott A.; Mooers, Arne O.								Pollinators visit related plant species across 29 plant-pollinator networks								ECOLOGY AND EVOLUTION				4	12			2303	2315		10.1002/ece3.1051			JUN 2014	2014										16							WOS:000337738800001		
J	LaBrecque, John R.; Alva-Campbell, Yvette R.; Archambeault, Sophie; Crow, Karen D.								Multiple paternity is a shared reproductive strategy in the live-bearing surfperches (Embiotocidae) that may be associated with female fitness								ECOLOGY AND EVOLUTION				4	12			2316	2329		10.1002/ece3.1071			JUN 2014	2014										5							WOS:000337738800002		
J	Doherty, Philip D.; Alfaro-Shigueto, Joanna; Hodgson, David J.; Mangel, Jeffrey C.; Witt, Matthew J.; Godley, Brendan J.								Big catch, little sharks: Insight into Peruvian small-scale longline fisheries								ECOLOGY AND EVOLUTION				4	12			2375	2383		10.1002/ece3.1104			JUN 2014	2014										6							WOS:000337738800006		
J	Bond, Morgan H.; Crane, Penelope A.; Larson, Wesley A.; Quinn, Tom P.								Is isolation by adaptation driving genetic divergence among proximate Dolly Varden char populations?								ECOLOGY AND EVOLUTION				4	12			2515	2532		10.1002/ece3.1113			JUN 2014	2014										8							WOS:000337738800015		
J	Bukowski, Alexandra R.; Petermann, Jana S.								Intraspecific plant-soil feedback and intraspecific overyielding in Arabidopsis thaliana								ECOLOGY AND EVOLUTION				4	12			2533	2545		10.1002/ece3.1077			JUN 2014	2014										11							WOS:000337738800016		
J	Farmer, Robert G.; Leonard, Marty L.; Flemming, Joanna E. Mills; Anderson, Sean C.								Observer aging and long-term avian survey data quality								ECOLOGY AND EVOLUTION				4	12			2563	2576		10.1002/ece3.1101			JUN 2014	2014										7							WOS:000337738800018		
J	Annavi, Geetha; Newman, Christopher; Buesching, Christina D.; Macdonald, David W.; Burke, Terry; Dugdale, Hannah L.								Heterozygosity-fitness correlations in a wild mammal population: accounting for parental and environmental effects								ECOLOGY AND EVOLUTION				4	12			2594	2609		10.1002/ece3.1112			JUN 2014	2014										16							WOS:000337738800021		
