journal_name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
JOURNAL OF ARCHAEOLOGICAL SCIENCE,197,294,337,344,359,363,432,449,297,149,117
ANTIQUITY,59,62,60,63,78,59,62,69,68,99,118
ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES,0,0,20,25,28,24,27,29,38,65,120
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY,62,55,68,68,73,60,69,70,90,106,92
ARCHAEOMETRY,52,58,62,66,73,66,65,76,76,78,73
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,29,31,30,31,34,35,51,52,62,62,53
AMERICAN ANTIQUITY,42,42,40,40,39,37,33,32,27,21,18
JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY,17,16,15,15,16,23,28,32,38,46,47
GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL,35,34,32,33,33,29,28,30,28,35,40
LITHIC TECHNOLOGY,0,10,7,9,14,20,0,3,20,20,12
ENVIRONMENTAL ARCHAEOLOGY,12,13,12,11,12,13,18,23,29,34,27
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
